match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_winner,won_by,margin,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure
1,"March 22,2025","Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Group,Royal Challengers Bengaluru,field,174,8,177.0,3.0,Royal Challengers Bengaluru,Wickets,7.0,KH Pandya,V Kohli,59,KH Pandya,3--29
2,"March 23,2025","Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Group,Rajasthan Royals,field,286,6,242.0,6.0,Sunrisers Hyderabad,Runs,44.0,Ishan Kishan,Ishan Kishan,106,TU Deshpande,3--44
3,"March 23,2025","MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Chennai Super Kings,Group,Chennai Super Kings,field,155,9,158.0,6.0,Chennai Super Kings,Wickets,4.0,Noor Ahmad,R Ravindra,65,Noor Ahmad,4--18
4,"March 24,2025","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Lucknow Super Giants,Delhi Capitals,Group,Delhi Capitals,field,209,8,211.0,9.0,Delhi Capitals,Wickets,1.0,Ashutosh Sharma,N Pooran,75,MA Starc,3--42
5,"March 25,2025","Narendra Modi Stadium, Ahmedabad",Punjab Kings,Gujarat Titans,Group,Gujarat Titans,field,243,5,232.0,5.0,Punjab Kings,Runs,11.0,SS Iyer,SS Iyer,97,R Sai Kishore,3--30
6,"March 26,2025","Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Kolkata Knight Riders,Group,Kolkata Knight Riders,field,151,9,153.0,2.0,Kolkata Knight Riders,Wickets,8.0,Q de Kock,Q de Kock,97,CV Varun,2--17
7,"March 27,2025","Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Group,Lucknow Super Giants,field,190,9,193.0,5.0,Lucknow Super Giants,Wickets,5.0,SN Thakur,N Pooran,70,SN Thakur,4--34
8,"March 28,2025","MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,Chennai Super Kings,Group,Chennai Super Kings,field,196,7,146.0,8.0,Royal Challengers Bengaluru,Runs,50.0,RM Patidar,RM Patidar,51,JR Hazlewood,3--21
9,"March 29,2025","Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Group,Mumbai Indians,field,196,8,160.0,6.0,Gujarat Titans,Runs,36.0,M Prasidh Krishna,B Sai Sudharsan,63,M Prasidh Krishna,2--18
10,"March 30,2025","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad,Delhi Capitals,Group,Sunrisers Hyderabad,bat,163,10,166.0,3.0,Delhi Capitals,Wickets,7.0,MA Starc,Aniket Verma,74,MA Starc,5--35
11,"March 30,2025","Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Chennai Super Kings,Group,Chennai Super Kings,field,182,9,176.0,6.0,Rajasthan Royals,Runs,6.0,N Rana,N Rana,81,PWH de Silva,4--35
12,"March 31,2025","Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Group,Mumbai Indians,field,116,10,121.0,2.0,Mumbai Indians,Wickets,8.0,Ashwani Kumar,RD Rickelton,62,Ashwani Kumar,4--24
13,"April 1,2025","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Punjab Kings,Group,Punjab Kings,field,171,7,177.0,2.0,Punjab Kings,Wickets,8.0,P Simran Singh,P Simran Singh,69,Arshdeep Singh,3--43
14,"April 2,2025","M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Gujarat Titans,Group,Gujarat Titans,field,169,8,170.0,2.0,Gujarat Titans,Wickets,8.0,Mohammed Siraj,JC Buttler,73,Mohammed Siraj,3--19
15,"April 3,2025","Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Group,Sunrisers Hyderabad,field,200,6,120.0,10.0,Kolkata Knight Riders,Runs,80.0,VG Arora,VR Iyer,60,CV Varun,3--22
16,"April 4,2025","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Mumbai Indians,Group,Mumbai Indians,field,203,8,191.0,5.0,Lucknow Super Giants,Runs,12.0,DS Rathi,SA Yadav,67,HH Pandya,5--36
17,"April 5,2025","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Mohali",Rajasthan Royals,Punjab Kings,Group,Punjab Kings,field,205,4,155.0,9.0,Rajasthan Royals,Runs,50.0,JC Archer,YBK Jaiswal,67,JC Archer,3--25
18,"April 5,2025","MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,Chennai Super Kings,Group,Delhi Capitals,bat,183,6,158.0,5.0,Delhi Capitals,Runs,25.0,KL Rahul,KL Rahul,77,KK Ahmed,2--25
19,"April 6,2025","Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Gujarat Titans,Group,Gujarat Titans,field,152,8,153.0,3.0,Gujarat Titans,Wickets,7.0,Mohammed Siraj,Shubman Gill,61,Mohammed Siraj,4--17
20,"April 7,2025","Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Mumbai Indians,Group,Mumbai Indians,field,221,5,209.0,9.0,Royal Challengers Bengaluru,Runs,12.0,RM Patidar,V Kohli,67,KH Pandya,4--45
21,"April 8,2025","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Mohali",Punjab Kings,Chennai Super Kings,Group,Punjab Kings,bat,219,6,201.0,5.0,Punjab Kings,Runs,18.0,Priyansh Arya,Priyansh Arya,103,LH Ferguson,2--40
22,"April 8,2025","Eden Gardens, Kolkata",Lucknow Super Giants,Kolkata Knight Riders,Group,Kolkata Knight Riders,field,238,3,234.0,7.0,Lucknow Super Giants,Runs,4.0,N Pooran,N Pooran,87,Harshit Rana,2--51
23,"April 9,2025","Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Rajasthan Royals,Group,Rajasthan Royals,field,217,6,159.0,10.0,Gujarat Titans,Runs,58.0,B Sai Sudharsan,B Sai Sudharsan,82,M Prasidh Krishna,3--24
24,"April 10,2025","M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Delhi Capitals,Group,Delhi Capitals,field,163,7,169.0,4.0,Delhi Capitals,Wickets,6.0,KL Rahul,KL Rahul,93,Kuldeep Yadav,2--17
25,"April 11,2025","MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Group,Kolkata Knight Riders,field,103,9,107.0,2.0,Kolkata Knight Riders,Wickets,8.0,SP Narine,SP Narine,44,SP Narine,3--13
26,"April 12,2025","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,Lucknow Super Giants,Group,Lucknow Super Giants,field,180,6,186.0,4.0,Lucknow Super Giants,Wickets,6.0,AK Markram,N Pooran,61,M Prasidh Krishna,2--26
27,"April 12,2025","Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,Sunrisers Hyderabad,Group,Punjab Kings,bat,245,6,247.0,2.0,Sunrisers Hyderabad,Wickets,8.0,Abhishek Sharma,Abhishek Sharma,141,HV Patel,4--42
28,"April 13,2025","Arun Jaitley Stadium, Delhi",Mumbai Indians,Delhi Capitals,Group,Delhi Capitals,field,205,5,193.0,10.0,Mumbai Indians,Runs,12.0,KV Sharma,KK Nair,89,KV Sharma,3--36
29,"April 13,2025","Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Royal Challengers Bengaluru,Group,Royal Challengers Bengaluru,field,173,4,175.0,1.0,Royal Challengers Bengaluru,Wickets,9.0,PD Salt,YBK Jaiswal,75,K Kartikeya,1--25
30,"April 14,2025","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Chennai Super Kings,Group,Chennai Super Kings,field,166,7,168.0,5.0,Chennai Super Kings,Wickets,5.0,MS Dhoni,RR Pant,63,Ravi Bishnoi,2--18
31,"April 15,2025","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Mohali",Punjab Kings,Kolkata Knight Riders,Group,Punjab Kings,bat,111,10,95.0,10.0,Punjab Kings,Runs,16.0,YS Chahal,A Raghuvanshi,37,YS Chahal,4--28
32,"April 16,2025","Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Group,Rajasthan Royals,field,188,5,212.0,7.0,No Result,NA,,MA Starc,N Rana,51,JC Archer,2--32
33,"April 17,2025","Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Group,Mumbai Indians,field,162,5,166.0,6.0,Mumbai Indians,Wickets,4.0,WG Jacks,Abhishek Sharma,40,PJ Cummins,3--26
34,"April 18,2025","M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Punjab Kings,Group,Punjab Kings,field,95,9,98.0,5.0,Punjab Kings,Wickets,5.0,TH David,TH David,50,JR Hazlewood,3--14
35,"April 19,2025","Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,Rajasthan Royals,Group,Lucknow Super Giants,bat,180,5,178.0,5.0,Lucknow Super Giants,Runs,2.0,Avesh Khan,YBK Jaiswal,74,Avesh Khan,3--37
36,"April 19,2025","Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Gujarat Titans,Group,Gujarat Titans,field,203,8,204.0,3.0,Gujarat Titans,Wickets,7.0,JC Buttler,JC Buttler,97,M Prasidh Krishna,4--41
37,"April 20,2025","Wankhede Stadium, Mumbai",Chennai Super Kings,Mumbai Indians,Group,Mumbai Indians,field,176,5,177.0,1.0,Mumbai Indians,Wickets,9.0,RG Sharma,RG Sharma,76,JJ Bumrah,2--25
